Ширина листа:555
Высота листа:777

Координаты фигур:

564.53,205.36;531.19,205.36;522.85,180.35;531.19,155.34;564.53,155.34;556.19,180.35;572.87,180.35;
564.58,205.41;597.92,205.41;606.25,230.42;597.92,255.43;564.58,255.43;572.91,230.42;556.24,230.42;
564.53,255.46;531.19,255.46;522.85,230.45;531.19,205.45;564.53,205.45;556.19,230.45;572.87,230.45;
564.58,255.51;597.92,255.51;606.25,280.52;597.92,305.53;564.58,305.53;572.91,280.52;556.24,280.52;
564.53,305.56;531.19,305.56;522.85,280.56;531.19,255.55;564.53,255.55;556.19,280.56;572.87,280.56;
564.58,305.62;597.92,305.62;606.25,330.63;597.92,355.63;564.58,355.63;572.91,330.63;556.24,330.63;
564.53,355.67;531.19,355.67;522.85,330.66;531.19,305.65;564.53,305.65;556.19,330.66;572.87,330.66;
564.58,355.72;597.92,355.72;606.25,380.73;597.92,405.74;564.58,405.74;572.91,380.73;556.24,380.73;
564.53,405.77;531.19,405.77;522.85,380.76;531.19,355.76;564.53,355.76;556.19,380.76;572.87,380.76;
564.58,405.82;597.92,405.82;606.25,430.83;597.92,455.84;564.58,455.84;572.91,430.83;556.24,430.83;
564.53,455.87;531.19,455.87;522.85,430.87;531.19,405.86;564.53,405.86;556.19,430.87;572.87,430.87;

Процент упаковки:82.45
